GameId,SeasonYear,OffenseTeam,ConversionSuccess,ShortYardage,IsRush,MediumYardage,IsPass,IsGoForIt,LongYardage,IsTouchdown,IsIncomplete,YardsToGo,DownToGoRatio,Yards,YardLineFixed,FieldPosition
2019120105,2019,LV,,0,0,0,0,0,1,0,0,17,3.4,0,26,0.26
2019112406,2019,LV,,0,0,0,0,0,1,0,0,11,2.2,0,48,0.48
2019112406,2019,LV,,1,0,0,0,0,0,0,0,2,0.4,0,25,0.25
2019112406,2019,LV,,0,0,0,0,0,1,0,0,8,1.6,0,29,0.29
2019092905,2019,LV,,0,0,0,0,0,1,0,0,10,2.0,0,47,0.47
2019092905,2019,LV,,0,0,0,0,0,1,0,0,8,1.6,0,44,0.44
2019100605,2019,LV,,0,0,0,0,0,1,0,0,14,2.8,0,44,0.44
2019100605,2019,LV,,0,0,1,0,0,0,0,0,6,1.2,0,22,0.22
2019100605,2019,LV,,1,0,0,0,0,0,0,0,1,0.2,0,27,0.27
2019100605,2019,LV,,1,0,0,0,0,0,0,0,1,0.2,0,35,0.35
2019102004,2019,LV,,0,0,1,0,0,0,0,0,4,0.8,0,31,0.31
2019102004,2019,LV,,0,0,1,0,0,0,0,0,4,0.8,0,40,0.4
2019102704,2019,LV,,0,0,0,0,0,1,0,0,11,2.2,0,37,0.37
2019102704,2019,LV,,0,0,1,0,0,0,0,0,3,0.6,0,27,0.27
2019102704,2019,LV,,0,0,1,0,0,0,0,0,4,0.8,0,31,0.31
2019102704,2019,LV,,0,0,1,0,0,0,0,0,5,1.0,0,33,0.33
2019102704,2019,LV,,0,0,1,0,0,0,0,0,3,0.6,0,32,0.32
2019102704,2019,LV,,0,0,0,0,0,1,0,0,16,3.2,0,49,0.49
2019110307,2019,LV,,0,0,1,0,0,0,0,0,3,0.6,0,38,0.38
2019110307,2019,LV,,0,0,0,0,0,1,0,0,17,3.4,0,13,0.13
2019110307,2019,LV,,0,0,1,0,0,0,0,0,3,0.6,0,34,0.34
2019110307,2019,LV,,0,0,1,0,0,0,0,0,5,1.0,0,14,0.14
2019110700,2019,LV,,0,0,0,0,0,1,0,0,13,2.6,0,17,0.17
2019110700,2019,LV,,1,0,0,0,0,0,0,0,2,0.4,0,19,0.19
2019110700,2019,LV,,0,0,0,0,0,1,0,0,10,2.0,0,47,0.47
2019092905,2019,LV,1.0,1,1,0,0,1,0,0,0,1,0.2,1,42,0.42
2019092205,2019,LV,,0,0,1,0,0,0,0,0,6,1.2,0,48,0.48
2019092205,2019,LV,,0,0,0,0,0,1,0,0,18,3.6,0,33,0.33
2019092205,2019,LV,0.0,1,1,0,0,1,0,0,0,1,0.2,0,39,0.39
2019092205,2019,LV,1.0,0,0,1,1,1,0,0,0,3,0.6,6,44,0.44
2019091510,2019,LV,,0,0,1,0,0,0,0,0,5,1.0,0,50,0.5
2019091510,2019,LV,,1,0,0,0,0,0,0,0,1,0.2,0,10,0.1
2019110700,2019,LV,,0,0,0,0,0,1,0,0,12,2.4,0,44,0.44
2019110700,2019,LV,,0,0,0,0,0,1,0,0,17,3.4,0,39,0.39
2019111709,2019,LV,,0,0,0,0,0,1,0,0,15,3.0,0,41,0.41
2019121510,2019,LV,,0,0,0,0,0,1,0,0,21,4.2,0,35,0.35
2019122201,2019,LV,,0,0,1,0,0,0,0,0,4,0.8,0,42,0.42
2019122201,2019,LV,,0,0,0,0,0,1,0,0,13,2.6,0,38,0.38
2019122201,2019,LV,,0,0,0,0,0,1,0,0,13,2.6,0,15,0.15
2019112406,2019,LV,,0,0,1,0,0,0,0,0,4,0.8,0,41,0.41
2019092905,2019,LV,,0,0,0,0,0,1,0,0,16,3.2,0,9,0.09
2019122213,2019,ARI,1.0,1,0,0,1,1,0,0,0,2,0.4,14,47,0.47
2019122213,2019,SEA,,0,0,0,0,0,1,0,0,7,1.4,0,39,0.39
2019122213,2019,SEA,,1,0,0,0,0,0,0,0,1,0.2,0,33,0.33
2019122212,2019,DAL,0.0,0,0,0,1,1,1,0,1,8,1.6,0,23,0.23
2019122212,2019,PHI,,0,0,0,0,0,1,0,0,18,3.6,0,48,0.48
2019122212,2019,DAL,,0,0,1,0,0,0,0,0,4,0.8,0,31,0.31
2019122210,2019,NO,0.0,0,0,0,1,1,1,0,1,7,1.4,0,38,0.38
2019122210,2019,TEN,,0,0,1,0,0,0,0,0,3,0.6,0,48,0.48
2019122214,2019,KC,,0,0,1,0,0,0,0,0,4,0.8,0,43,0.43
2019122214,2019,CHI,,0,0,0,0,0,1,0,0,7,1.4,0,43,0.43
2019122214,2019,KC,,0,0,0,0,0,1,0,0,9,1.8,0,39,0.39
2019122212,2019,PHI,,0,0,1,0,0,0,0,0,6,1.2,0,35,0.35
2019092905,2019,LV,,0,0,0,0,0,1,0,0,7,1.4,0,39,0.39
2019100605,2019,LV,,0,0,1,0,0,0,0,0,3,0.6,0,44,0.44
2019122211,2019,WAS,,0,0,0,0,0,1,0,0,8,1.6,0,41,0.41
2019122300,2019,MIN,0.0,0,0,1,1,1,0,0,1,4,0.8,0,42,0.42
2019122300,2019,GB,,0,0,1,0,0,0,0,0,5,1.0,0,15,0.15
2019122300,2019,GB,,0,0,1,0,0,0,0,0,3,0.6,0,24,0.24
2019122300,2019,GB,,0,0,0,0,0,1,0,0,8,1.6,0,42,0.42
2019122300,2019,MIN,,0,0,1,0,0,0,0,0,5,1.0,0,5,0.05
2019122214,2019,CHI,0.0,0,0,0,1,1,1,0,1,8,1.6,0,36,0.36
2019122214,2019,KC,,0,0,1,0,0,0,0,0,6,1.2,0,14,0.14
2019122214,2019,CHI,0.0,0,0,1,1,1,0,0,1,4,0.8,0,4,0.04
2019122208,2019,CIN,1.0,0,0,1,1,1,0,1,0,3,0.6,34,34,0.34
2019122208,2019,CIN,1.0,1,0,0,1,1,0,0,0,1,0.2,12,46,0.46
2019122208,2019,MIA,,0,0,1,0,0,0,0,0,3,0.6,0,43,0.43
2019122213,2019,SEA,,0,0,0,0,0,1,0,0,10,2.0,0,33,0.33
2019122213,2019,SEA,,0,0,1,0,0,0,0,0,6,1.2,0,12,0.12
2019122213,2019,ARI,,0,0,1,0,0,0,0,0,5,1.0,0,26,0.26
2019122213,2019,ARI,,0,0,0,0,0,1,0,0,8,1.6,0,27,0.27
2019122210,2019,NO,,0,0,0,0,0,1,0,0,17,3.4,0,29,0.29
2019122214,2019,CHI,,0,0,0,0,0,1,0,0,8,1.6,0,28,0.28
2019111709,2019,LV,,0,0,1,0,0,0,0,0,6,1.2,0,29,0.29
2019111709,2019,LV,,0,0,1,0,0,0,0,0,4,0.8,0,38,0.38
2019112406,2019,LV,,0,0,0,0,0,1,0,0,13,2.6,0,39,0.39
2019112406,2019,LV,,0,0,0,0,0,1,0,0,9,1.8,0,22,0.22
2019112406,2019,LV,,0,0,1,0,0,0,0,0,3,0.6,0,45,0.45
2019112406,2019,LV,0.0,1,1,0,0,1,0,0,0,1,0.2,0,39,0.39
2019112406,2019,LV,,1,0,0,0,0,0,0,0,2,0.4,0,46,0.46
2019112406,2019,LV,,0,0,1,0,0,0,0,0,5,1.0,0,35,0.35
2019120105,2019,LV,,0,0,0,0,0,1,0,0,13,2.6,0,23,0.23
2019120105,2019,LV,,0,0,0,0,0,1,0,0,11,2.2,0,15,0.15
2019120812,2019,LV,,0,0,0,0,0,1,0,0,9,1.8,0,49,0.49
2019120812,2019,LV,,0,0,0,0,0,1,0,0,8,1.6,0,49,0.49
2019120812,2019,LV,,0,0,1,0,0,0,0,0,3,0.6,0,37,0.37
2019120812,2019,LV,,0,0,0,0,0,1,0,0,16,3.2,0,45,0.45
2019121510,2019,LV,,0,0,0,0,0,1,0,0,7,1.4,0,15,0.15
2019121510,2019,LV,,0,0,0,0,0,1,0,0,26,5.2,0,44,0.44
2019122212,2019,DAL,,0,0,0,0,0,1,0,0,8,1.6,0,47,0.47
2019122212,2019,PHI,0.0,1,0,0,1,1,0,0,1,1,0.2,0,33,0.33
2019122212,2019,DAL,,0,0,1,0,0,0,0,0,3,0.6,0,31,0.31
2019122212,2019,PHI,,0,0,1,0,0,0,0,0,4,0.8,0,18,0.18
2019122208,2019,MIA,,0,0,1,0,0,0,0,0,3,0.6,0,29,0.29
2019122208,2019,CIN,,1,0,0,0,0,0,0,0,2,0.4,0,2,0.02
