GameId,GameDate,SeasonYear,OffenseTeam,DefenseTeam,Description,Down,YardsToGo,YardLineFixed,FieldPosition,RedZone,OpponentTerritory,OwnTerritory,Quarter,GameTime,LateGame,Overtime,ShortYardage,MediumYardage,LongYardage,DownToGoRatio,DecisionType,IsGoForIt,IsFieldGoalAttempt,IsPuntAttempt,IsRush,IsPass,PlayType,Formation,Yards,ConversionSuccess,FieldGoalSuccess,PlaySuccess,IsTouchdown,IsIncomplete,IsSack,IsInterception,IsFumble
2021101007,2021-10-10,2021,TB,MIA,"(14:11) 3-R.SUCCOP 42 YARD FIELD GOAL IS GOOD, CENTER-46-C.TINKER, HOLDER-8-B.PINION.",4,16,24,0.24,0,0,1,2,16,0,0,0,0,1,3.2,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101007,2021-10-10,2021,MIA,TB,"(11:21) 7-J.SANDERS 23 YARD FIELD GOAL IS GOOD, CENTER-44-B.FERGUSON, HOLDER-5-M.PALARDY.",4,5,5,0.05,0,0,1,1,4,0,0,0,1,0,1.0,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101006,2021-10-10,2021,DEN,PIT,(:17) (SHOTGUN) 5-T.BRIDGEWATER PASS SHORT LEFT INTENDED FOR 14-C.SUTTON INTERCEPTED BY 42-J.PIERRE AT PIT -8. TOUCHBACK.,4,3,3,0.03,0,0,1,4,60,1,0,0,1,0,0.6,Pass,1,0,0,0,1,PASS,SHOTGUN,0,0.0,,0,0,0,0,1,0
2021101006,2021-10-10,2021,DEN,PIT,"(10:19) (SHOTGUN) 5-T.BRIDGEWATER PASS SHORT RIGHT TO 9-K.HINTON FOR 2 YARDS, TOUCHDOWN.",4,2,2,0.02,0,0,1,4,50,1,0,1,0,0,0.4,Pass,1,0,0,0,1,PASS,SHOTGUN,2,1.0,,1,1,0,0,0,0
2021101006,2021-10-10,2021,DEN,PIT,"(1:47) 8-B.MCMANUS 39 YARD FIELD GOAL IS GOOD, CENTER-46-J.BOBENMOYER, HOLDER-6-S.MARTIN.",4,2,21,0.21,0,0,1,1,14,0,0,1,0,0,0.4,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101006,2021-10-10,2021,DEN,PIT,"(10:02) 6-S.MARTIN PUNTS 52 YARDS TO PIT 17, CENTER-46-J.BOBENMOYER, FAIR CATCH BY 14-R.MCCLOUD.",4,4,31,0.31,0,0,1,1,5,0,0,0,1,0,0.8,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101005,2021-10-10,2021,DET,MIN,(3:43) (SHOTGUN) 16-J.GOFF SACKED AT DET 34 FOR -9 YARDS (98-D.WONNUM).,4,15,43,0.43,0,0,1,4,57,1,0,0,0,1,3.0,Unknown,0,0,0,0,0,SACK,SHOTGUN,-9,,,1,0,0,1,0,0
2021101005,2021-10-10,2021,MIN,DET,"(4:33) 1-G.JOSEPH 55 YARD FIELD GOAL IS GOOD, CENTER-42-A.DEPAOLA, HOLDER-3-J.BERRY.",4,8,37,0.37,0,0,1,4,56,1,0,0,0,1,1.6,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2021101005,2021-10-10,2021,MIN,DET,"(12:08) 3-J.BERRY PUNTS 46 YARDS TO DET 21, CENTER-42-A.DEPAOLA, FAIR CATCH BY 11-K.RAYMOND.",4,4,33,0.33,0,0,1,4,48,1,0,0,1,0,0.8,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2021101005,2021-10-10,2021,DET,MIN,"(14:13) 3-J.FOX PUNTS 47 YARDS TO MIN 25, CENTER-47-S.DALY. 12-D.WESTBROOK TO MIN 27 FOR 2 YARDS (27-B.PRICE).",4,3,28,0.28,0,0,1,4,46,1,0,0,1,0,0.6,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
